id,brand,title,title_en,title_ar,description,description_en,description_ar,usageTips,usageTips_en,usageTips_ar,customBadge,customBadge_en,customBadge_ar,category,subCategory,tags
4ROJakb93Dw9QfRL9CF6,Lisas,Eau de Rose Lotion Tonique,Rose Water Tonic Lotion,تونر ماء الورد,"Une lotion tonique à l’eau de rose pour réveiller le teint et parfaire le nettoyage.

Elle aide à tonifier, rafraîchir et adoucir la peau, tout en laissant une sensation florale délicate et apaisante.

**Pourquoi on l’aime :**
- Tonifie la peau en douceur
- Aide à retirer les dernières impuretés
- Rafraîchit le teint instantanément
- Sans alcool, sans paraben et sans colorant
- Convient à tous les types de peaux

**Astuce :**
Gardez-la au réfrigérateur pour un effet frais le matin et une sensation de pores resserrés.","A rose water toner to wake up the complexion and complete cleansing.

It helps tone, refresh and soften skin while leaving a delicate, soothing floral feel.

**Why we love it:**
- Gently tones the skin
- Helps remove the last impurities
- Instantly refreshes the complexion
- Alcohol-free, paraben-free and colorant-free
- Suitable for all skin types

**Tip:**
Keep it in the fridge for a fresh morning effect and a tightened-pore sensation.","تونر بماء الورد يوقظ إشراقة البشرة ويكمل خطوة التنظيف.

يساعد على تنغيم البشرة وإنعاشها وتنعيمها، مع إحساس زهري لطيف ومهدئ.

**لماذا نحبّه:**
- ينغّم البشرة بلطف
- يساعد على إزالة آخر الشوائب
- ينعش البشرة فوراً
- خالٍ من الكحول والبارابين والملونات
- مناسب لكل أنواع البشرة

**نصيحة:**
احتفظي به في الثلاجة لإحساس منعش صباحاً ومظهر مسام مشدودة.",Vaporisez directement sur le visage et le cou ou appliquez à l'aide d'un coton matin et soir sur une peau nettoyée. Ne pas rincer pour laisser les actifs agir.,Spray directly onto the face and neck or apply with a cotton pad morning and evening to cleansed skin. Do not rinse to allow the active ingredients to work.,رشي مباشرة على الوجه والرقبة أو طبّقي بقطنة صباحاً ومساءً على بشرة نظيفة. لا تشطفي حتى تعمل المكونات.,,,,Soins visage,Lotion,"soins_visage; lotion; tout_type"
att3GGP9UhNf4U5lMFbP,Le Petit Olivier,Eau Micellaire Démaquillante Détox & Anti-Pollution,Detox & Anti-Pollution Micellar Water,ماء ميسيلار مزيل للمكياج ديتوكس ومضاد للتلوث,"Une eau micellaire détox pour démaquiller et libérer la peau des impuretés.

Sa formule à la fleur d’amandier et au moringa aide à nettoyer le visage, retirer le maquillage et éliminer les particules de pollution.

**Pourquoi on l’aime :**
- Démaquille en douceur
- Aide à purifier la peau
- Protège des effets de la pollution
- Formule à 98% d’origine naturelle
- Laisse la peau nette, fraîche et douce

**Astuce :**
Utilisez-la aussi le matin pour retirer l’excès de sébum et réveiller le teint.","A detox micellar water to remove makeup and free skin from impurities.

Its almond blossom and moringa formula helps cleanse the face, remove makeup and eliminate pollution particles.

**Why we love it:**
- Gently removes makeup
- Helps purify the skin
- Protects from pollution effects
- 98% naturally derived formula
- Leaves skin clean, fresh and soft

**Tip:**
Use it in the morning too to remove excess sebum and wake up the complexion.","ماء ميسيلار ديتوكس لإزالة المكياج وتخليص البشرة من الشوائب.

تركيبته بزهر اللوز والمورينغا تساعد على تنظيف الوجه، إزالة المكياج والتخلص من جزيئات التلوث.

**لماذا نحبّه:**
- يزيل المكياج بلطف
- يساعد على تنقية البشرة
- يحمي من آثار التلوث
- تركيبة 98% من أصل طبيعي
- يترك البشرة نظيفة ومنتعشة وناعمة

**نصيحة:**
استخدميه أيضاً صباحاً لإزالة الزهم الزائد وإنعاش البشرة.","Matin et soir, appliquez délicatement sur l'ensemble du visage, des yeux et des lèvres à l'aide d'un coton. Sans rinçage.","Apply morning and evening to the face, eyes, and lips using a cotton pad. No rinsing required.",صباحاً ومساءً، طبّقي بلطف على الوجه والعينين والشفاه باستخدام قطنة. بدون شطف.,,,,Soins visage,Nettoyant,"soins_visage; nettoyant; démaquillage; tout_type"
5t9xGuANF064X7mOTgO3,CELENES by Sweden,Eau Micellaire Nettoyante à la Vitamine C,Cleansing Micellar Water with Vitamin C,ماء ميسيلار منظف بفيتامين C,"Une eau micellaire à la vitamine C pour nettoyer la peau tout en réveillant l’éclat.

Elle élimine maquillage et impuretés, tandis que l’argousier aide à protéger la peau et à raviver les teints ternes.

**Pourquoi on l’aime :**
- Nettoie et démaquille en douceur
- Aide à réveiller l’éclat du teint
- Protège grâce aux antioxydants
- Rafraîchit sans dessécher
- Formule sans alcool

**Pour qui :**
Idéale pour les peaux mixtes à grasses qui veulent un nettoyage frais et lumineux.","A vitamin C micellar water that cleanses skin while boosting radiance.

It removes makeup and impurities, while sea buckthorn helps protect skin and revive dull complexions.

**Why we love it:**
- Gently cleanses and removes makeup
- Helps wake up skin radiance
- Protects with antioxidants
- Refreshes without drying
- Alcohol-free formula

**Best for:**
Combination to oily skin that wants a fresh, luminous cleanse.","ماء ميسيلار بفيتامين C ينظف البشرة ويعزز إشراقتها.

يزيل المكياج والشوائب، بينما يساعد نبق البحر على حماية البشرة وإحياء الإشراقة في البشرة الباهتة.

**لماذا نحبّه:**
- ينظف ويزيل المكياج بلطف
- يساعد على إيقاظ إشراقة البشرة
- يحمي بفضل مضادات الأكسدة
- ينعش من دون تجفيف
- تركيبة خالية من الكحول

**مناسب لـ:**
البشرة المختلطة إلى الدهنية التي تريد تنظيفاً منعشاً ومضيئاً.",Imbibez un coton et nettoyez délicatement votre visage et votre cou. Répétez l'application jusqu'à ce que le coton soit propre. Ne nécessite pas de rinçage. Convient à un usage quotidien.,Apply to a cotton pad and gently wipe over the face and neck. Repeat until the pad stays clean. No rinsing needed.,بللي قطنة ونظفي الوجه والرقبة بلطف. كرري حتى تصبح القطنة نظيفة. لا يحتاج إلى شطف. مناسب للاستخدام اليومي.,,,,Soins visage,Nettoyant,"soins_visage; nettoyant; éclat; grasse; mixte; démaquillage; celenes_c"
hMWZElHZS1a47OsiWAGp,Venus,"Eau Micellaire Viderm Purifiante — Visage, Yeux & Lèvres","Viderm Purifying Micellar Water — Face, Eyes & Lips",ماء ميسيلار فيدرم منقٍ للوجه والعينين والشفاه,"Une eau micellaire purifiante pour nettoyer la peau sans l'agresser.

Elle retire le maquillage, les impuretés et l'excès de sébum en un seul geste. Sa formule douce laisse la peau fraîche, nette et confortable, sans sensation de tiraillement.

**Pourquoi on l'aime :**
- Démaquille le visage, les yeux et les lèvres.
- Aide à purifier la peau au quotidien.
- Formule hypoallergénique, sans savon, sans colorant, sans phtalates et sans paraben.
- Testée sous contrôle dermatologique et ophtalmologique.

**Astuce :** applique-la avec un coton, matin ou soir, sans frotter. Inutile de rincer.","A purifying micellar water that cleanses skin without irritating it.

It removes makeup, impurities and excess sebum in one step. Its gentle formula leaves skin fresh, clean and comfortable, with no tight feeling.

**Why we love it:**
- Removes makeup from face, eyes and lips
- Helps purify skin daily
- Hypoallergenic formula, soap-free, colorant-free, phthalate-free and paraben-free
- Dermatologically and ophthalmologically tested

**Tip:**
Apply with a cotton pad morning or evening, without rubbing. No rinsing needed.","ماء ميسيلار منقٍ ينظف البشرة من دون أن يهيجها.

يزيل المكياج والشوائب والزهم الزائد في خطوة واحدة. تركيبته اللطيفة تترك البشرة منعشة ونظيفة ومريحة من دون شد.

**لماذا نحبّه:**
- يزيل مكياج الوجه والعينين والشفاه
- يساعد على تنقية البشرة يومياً
- تركيبة هيبوالرجينيك، خالية من الصابون والملونات والفثالات والبارابين
- مختبر تحت إشراف أطباء الجلد والعيون

**نصيحة:**
طبّقي بقطنة صباحاً أو مساءً من دون فرك. لا يحتاج إلى شطف.","Appliquer sur le visage, les yeux et les lèvres à l'aide d'un coton matin et soir. Recommencer jusqu'à ce que le coton soit propre. Sans rinçage.","Apply to face, eyes, and lips using a cotton pad morning and night. Repeat until the pad stays clean. No rinsing needed.",طبّقي على الوجه والعينين والشفاه باستخدام قطنة صباحاً ومساءً. كرري حتى تصبح القطنة نظيفة. بدون شطف.,,,,Soins visage,Nettoyant,"soins_visage; nettoyant; démaquillage; tout_type"
oPqtXiCXzNtduYSA9w3W,MAKE Cosmetic,Eau Rafraîchissante Protectrice SPF 50,Protective Refreshing Water SPF 50,ماء منعش واقٍ SPF 50,"Une protection solaire SPF 50 légère, fraîche et invisible sur la peau.

Cette eau biphase protège contre les UVA et UVB tout en apportant une sensation de fraîcheur immédiate. Sa texture ne colle pas, ne graisse pas et ne laisse pas de traces blanches.

**Pourquoi on l'aime :**
- Haute protection SPF 50.
- Texture eau ultra-légère.
- Fini invisible, idéal pour le corps.
- Enrichie en Aloe Vera pour aider à garder la peau souple.

**Astuce :** secoue bien avant utilisation, puis applique généreusement avant l'exposition. Renouvelle souvent, surtout après baignade ou transpiration.","A lightweight, fresh and invisible SPF 50 sun protection on the skin.

This bi-phase water protects against UVA and UVB rays while giving an instant refreshing feel. Its texture is non-sticky, non-greasy and leaves no white marks.

**Why we love it:**
- High SPF 50 protection
- Ultra-light water texture
- Invisible finish, ideal for the body
- Enriched with Aloe Vera to help keep skin supple

**Tip:**
Shake well before use, then apply generously before exposure. Reapply often, especially after swimming or sweating.","حماية شمسية SPF 50 خفيفة ومنعشة وغير مرئية على البشرة.

هذا الماء ثنائي المرحلة يحمي من أشعة UVA وUVB ويمنح إحساساً فورياً بالانتعاش. قوامه غير لاصق وغير دهني ولا يترك آثاراً بيضاء.

**لماذا نحبّه:**
- حماية عالية SPF 50
- قوام مائي فائق الخفة
- لمسة غير مرئية، مثالية للجسم
- غني بالألوفيرا للمساعدة على الحفاظ على ليونة البشرة

**نصيحة:**
رجّي جيداً قبل الاستخدام ثم طبّقي بكمية كافية قبل التعرض. أعيدي التطبيق كثيراً خاصة بعد السباحة أو التعرق.","1. Agitez vigoureusement le flacon avant l'emploi pour mélanger les deux phases.
2. Vaporisez généreusement sur tout le visage et le corps avant l'exposition.
3. Pour le visage, évitez le contour des yeux.
4. Renouvelez l'application fréquemment, surtout après avoir nagé ou vous être essuyé.","1. Shake the bottle well before use to mix the two phases.
2. Spray generously over the entire face and body before sun exposure.
3. For the face, avoid the eye area.
4. Reapply frequently, especially after swimming, sweating, or towel drying.",1. رجّي العبوة جيداً قبل الاستخدام لخلط المرحلتين. 2. رشي بكمية كافية على الوجه والجسم قبل التعرض للشمس. 3. للوجه، تجنبي محيط العينين.,,,,Solaires,Protection Corps,"solaires; eau; protection_corps; tout_type; spf_50"
vcBjeZOtkrpxiBPrYwHC,CELENES by Sweden,Eau Thermale Micellaire Nettoyante,Thermal Cleansing Micellar Water,ماء ميسيلار حراري منظف,"Une eau micellaire douce pour nettoyer les peaux mixtes à grasses sans les dessécher.

Elle démaquille le visage, les yeux et les lèvres sans besoin de frotter. Sa formule aide à retirer les impuretés, à rafraîchir la peau et à calmer les zones sensibles.

**Pourquoi on l'aime :**
- Nettoie, démaquille et apaise en un geste.
- Aide à limiter l'excès de sébum.
- Sans alcool et sans paraben.
- Convient aux routines simples du matin ou du soir.

**Résultat :** la peau est propre, fraîche et plus confortable, sans effet gras.","A gentle micellar water for combination to oily skin, without drying it out.

It removes makeup from the face, eyes and lips without rubbing. Its formula helps remove impurities, refresh skin and calm sensitive areas.

**Why we love it:**
- Cleanses, removes makeup and soothes in one step
- Helps limit excess sebum
- Alcohol-free and paraben-free
- Fits simple morning or evening routines

**Result:**
Skin feels clean, fresh and more comfortable, without a greasy finish.","ماء ميسيلار لطيف للبشرة المختلطة إلى الدهنية من دون أن يجففها.

يزيل مكياج الوجه والعينين والشفاه من دون فرك. تركيبته تساعد على إزالة الشوائب، إنعاش البشرة وتهدئة المناطق الحساسة.

**لماذا نحبّه:**
- ينظف ويزيل المكياج ويهدئ في خطوة واحدة
- يساعد على الحد من الزهم الزائد
- خالٍ من الكحول والبارابين
- مناسب لروتين صباحي أو مسائي بسيط

**النتيجة:**
بشرة نظيفة ومنتعشة وأكثر راحة، من دون لمسة دهنية.",Imbibez un coton et nettoyez délicatement le visage et les yeux. Répétez jusqu'à ce que le coton soit propre. Sans rinçage.,Soak a cotton pad and gently cleanse the face and eyes. Repeat until the pad comes away clean. No rinsing required.,بللي قطنة ونظفي الوجه والعينين بلطف. كرري حتى تصبح القطنة نظيفة. بدون شطف.,,,,Soins visage,Nettoyant,"soins_visage; nettoyant; celenes_eau; démaquillant; grasse; mixte"
uiGJTp8A18ePV1ggf94h,La Roche-Posay,Effaclar MAT+,Effaclar MAT+,إيفاكلار مات+,"Un soin hydratant pensé pour les peaux grasses qui brillent vite.

Effaclar MAT+ hydrate tout en aidant à contrôler l'excès de sébum. Sa texture légère laisse un fini mat, plus net, avec des pores visiblement moins marqués.

**Pourquoi on l'aime :**
- Aide à réduire la brillance.
- Affine l'apparence des pores.
- Hydrate sans alourdir la peau.
- Formulé avec l'eau thermale de La Roche-Posay.

**Pour qui :** idéal si ta peau devient brillante dans la journée, surtout sur la zone T.","A moisturizer designed for oily skin that gets shiny quickly.

Effaclar MAT+ hydrates while helping control excess sebum. Its lightweight texture leaves a cleaner matte finish with visibly less noticeable pores.

**Why we love it:**
- Helps reduce shine
- Refines the look of pores
- Hydrates without weighing skin down
- Formulated with La Roche-Posay thermal water

**Best for:**
Skin that becomes shiny during the day, especially on the T-zone.","مرطب مصمم للبشرة الدهنية التي تلمع بسرعة.

إيفاكلار مات+ يرطب ويساعد في الوقت نفسه على التحكم في الزهم الزائد. قوامه الخفيف يترك لمسة مطفية وأنقى مع مسام تبدو أقل وضوحاً.

**لماذا نحبّه:**
- يساعد على تقليل اللمعان
- يحسن مظهر المسام
- يرطب من دون إثقال البشرة
- يحتوي على ماء لاروش بوزيه الحراري

**مناسب لـ:**
البشرة التي تصبح لامعة خلال اليوم، خاصة منطقة T.","1. Appliquer matin et/ou soir sur l'ensemble du visage.
2. Utiliser sur une peau préalablement nettoyée avec un gel moussant adapté.","1. Apply morning and/or evening to the entire face.
2. Apply to skin that has been thoroughly cleansed with a gentle cleanser.",1. طبّقي صباحاً و/أو مساءً على كامل الوجه. 2. استخدميه على بشرة منظفة مسبقاً بغسول رغوي مناسب.,,,,Soins visage,Crème,"soins_visage; crème; grasse; hydratante"
rmmqo73GHSriW9JHSaNB,Mariabeauty,Elegance Blusher,Elegance Blusher,بلاش إليغانس,"Un blush poudre pour réveiller le teint en quelques secondes.

Sa texture fine se fond facilement sur la peau et permet d'obtenir un effet naturel ou plus intense selon la quantité appliquée. Il apporte de la couleur sans démarcation et donne bonne mine tout de suite.

**Pourquoi on l'aime :**
- Texture douce et facile à estomper.
- Fini velouté, naturel sur la peau.
- Couleur modulable selon l'envie.
- Parfait pour structurer les pommettes.

**Astuce :** commence avec peu de produit, puis ajoute une deuxième couche si tu veux un rendu plus visible.","A powder blush that wakes up the complexion in seconds.

Its fine texture blends easily into the skin and can give a natural or more intense effect depending on the amount applied. It adds color without harsh lines and gives an instant healthy look.

**Why we love it:**
- Soft texture that blends easily
- Natural velvety finish on the skin
- Buildable color depending on your mood
- Perfect to shape the cheekbones

**Tip:**
Start with a small amount, then add a second layer if you want a more visible result.","بلاش بودرة ينعش لون البشرة في ثوانٍ.

قوامه الناعم يندمج بسهولة على البشرة ويمكن أن يمنح نتيجة طبيعية أو أكثر وضوحاً حسب الكمية. يضيف لوناً من دون خطوط قاسية ويمنح مظهراً صحياً فورياً.

**لماذا نحبّه:**
- قوام ناعم وسهل الدمج
- لمسة مخملية طبيعية على البشرة
- لون قابل للبناء حسب الرغبة
- مثالي لتحديد عظمتي الخد

**نصيحة:**
ابدئي بكمية قليلة ثم أضيفي طبقة ثانية إذا أردتِ نتيجة أوضح.","1. Prélevez une petite quantité de poudre à l'aide d'un pinceau à fard à joues.
2. Souriez pour identifier le ""rebondi"" de vos pommettes.
3. Appliquez le fard par mouvements circulaires légers, en remontant vers les tempes pour un effet liftant.
4. Modulez l'intensité en ajoutant de la matière selon le résultat souhaité.","1. Sweep a small amount of powder onto a blush brush.
2. Smile to find the ""apples"" of your cheeks.
3. Apply the blush in light circular motions, blending upwards toward the temples for a lifting effect.
4. Build the intensity by adding more product until you reach your desired look.",1. خذي كمية صغيرة بالفرشاة. 2. ابتسمي لتحديد أعلى الخدود. 3. طبّقي بحركات دائرية خفيفة مع الدمج نحو الخارج.,4 teintes,4 shades,4 درجات,Maquillage,Blush,"maquillage; blush; teint; lumineux; mat; couvrance_moyenne; haute_couvrance"
5ftl9NDZHN7Mo5ydahzZ,Maria Beauty,Elegance Highlither Poudre,Elegance Highlither Powder,هايلايتر بودرة إليغانس,"Un highlighter poudre pour apporter de la lumière au visage sans effet lourd.

Sa texture fine capte la lumière et se travaille facilement. Tu peux l'utiliser pour un glow discret en journée ou un éclat plus intense le soir.

**Pourquoi on l'aime :**
- Illumine les zones clés du visage.
- Texture poudre douce et facile à appliquer.
- Intensité modulable.
- Joli rendu sur les pommettes, l'arcade sourcilière et l'arête du nez.

**Astuce :** applique-le par petites touches pour garder un éclat élégant et naturel.","A powder highlighter that brings light to the face without a heavy effect.

Its fine texture catches the light and is easy to work with. Use it for a soft daytime glow or a more intense evening radiance.

**Why we love it:**
- Illuminates key areas of the face
- Soft powder texture, easy to apply
- Buildable intensity
- Beautiful on cheekbones, brow bone and bridge of the nose

**Tip:**
Apply in small touches to keep the glow elegant and natural.","هايلايتر بودرة يضيف الضوء للوجه من دون تأثير ثقيل.

قوامه الناعم يلتقط الضوء ويسهل التحكم به. يمكن استخدامه لتوهج خفيف نهاراً أو إشراقة أقوى مساءً.

**لماذا نحبّه:**
- يضيء مناطق الوجه الأساسية
- قوام بودرة ناعم وسهل التطبيق
- قوة قابلة للبناء
- جميل على عظمتي الخد، عظمة الحاجب وجسر الأنف

**نصيحة:**
طبّقيه بلمسات صغيرة للحفاظ على إشراقة أنيقة وطبيعية.","1. Préparation : Assurez-vous que votre teint est unifié.
2. Application : Appliquez au pinceau ou au doigt sur les zones qui accrochent naturellement la lumière.
3. Zones clés : Le haut des pommettes, l'arcade sourcilière, l'arête du nez et l'arc de Cupidon.","1. Preparation: Ensure your foundation is even.
2. Application: Apply with a brush or fingertips to the high points of the face.
3. Key Areas: Cheekbones, brow bones, the bridge of the nose, and the Cupid's bow.",1. تأكدي من توحيد بشرتك. 2. طبّقي بالفرشاة أو بالأصبع على المناطق التي تلتقط الضوء طبيعياً. 3. ركزي على أعلى الخدود، عظمة الحاجب وجسر الأنف.,3 teintes,3 shades,3 درجات,Maquillage,Highligher,"maquillage; teint; highlither; poudre"
xPCXOQ9jfXptmWpGBBr0,Maria Beauty,Elegance Neon Orange Eyeshadow,Elegance Neon Orange Eyeshadow,باليت ظلال عيون إليغانس نيون برتقالي,"Une palette chaude et vibrante pour créer des looks solaires.

Ses 9 teintes mélangent des tons orangés, ocres, dorés et cuivrés. Les fards permettent un maquillage doux au quotidien ou un regard plus intense quand tu veux quelque chose de plus marqué.

**Pourquoi on l'aime :**
- 9 couleurs chaudes faciles à associer.
- Teintes mates et lumineuses.
- Pigmentation intense dès le premier passage.
- Texture qui se travaille facilement au pinceau.

**Pour qui :** parfaite si tu aimes les maquillages chauds, lumineux et visibles.","A warm, vibrant palette to create sunny eye looks.

Its 9 shades mix orange, ochre, gold and copper tones. The shadows can create soft everyday makeup or a more intense look when you want something bolder.

**Why we love it:**
- 9 warm shades that are easy to combine
- Matte and luminous finishes
- Intense pigmentation from the first swipe
- Texture that blends easily with a brush

**Best for:**
Anyone who loves warm, bright and visible eye makeup.","باليت دافئة وحيوية لابتكار إطلالات عيون مشمسة.

تجمع درجاتها التسع بين البرتقالي، الأوكر، الذهبي والنحاسي. يمكن استخدامها لمكياج يومي ناعم أو لإطلالة أكثر كثافة وجرأة.

**لماذا نحبّها:**
- 9 ألوان دافئة سهلة التنسيق
- درجات مطفية ومضيئة
- تصبغ قوي من أول تمريرة
- قوام سهل الدمج بالفرشاة

**مناسبة لـ:**
من يحبون مكياج العيون الدافئ والمضيء والواضح.",,,,,,,Maquillage,Palettes,"maquillage; yeux; intense; palettes"
fuqBrkPeQQcKXqAlwBea,Maria Beauty,Elegance Neon Pink Eyeshadow,Elegance Neon Pink Eyeshadow,باليت ظلال عيون إليغانس نيون وردي,"Une palette rose intense pour un regard doux, coloré ou carrément audacieux.

Elle réunit 9 teintes vibrantes, du rose romantique aux nuances plus électriques. Les couleurs se fondent facilement pour créer un maquillage simple, lumineux ou très affirmé.

**Pourquoi on l'aime :**
- 9 teintes roses et vibrantes.
- Pigmentation riche et visible.
- Texture facile à estomper.
- Permet des looks discrets ou plus créatifs.

**Astuce :** utilise une teinte claire sur la paupière mobile et une teinte plus vive en coin externe pour intensifier le regard.","An intense pink palette for a soft, colorful or fully bold eye look.

It brings together 9 vibrant shades, from romantic pink to more electric tones. The colors blend easily for a simple, bright or very expressive makeup look.

**Why we love it:**
- 9 pink and vibrant shades
- Rich, visible pigmentation
- Easy-to-blend texture
- Allows soft or more creative looks

**Tip:**
Use a light shade on the lid and a brighter shade on the outer corner to intensify the eyes.","باليت وردية قوية لإطلالة عيون ناعمة أو ملونة أو جريئة تماماً.

تجمع 9 درجات حيوية، من الوردي الرومانسي إلى الدرجات الكهربائية. تمتزج الألوان بسهولة لمكياج بسيط أو مضيء أو معبر جداً.

**لماذا نحبّها:**
- 9 درجات وردية وحيوية
- تصبغ غني وواضح
- قوام سهل الدمج
- تسمح بإطلالات ناعمة أو أكثر إبداعاً

**نصيحة:**
استخدمي درجة فاتحة على الجفن ودرجة أقوى في الزاوية الخارجية لتكثيف النظرة.",,,,,,,Maquillage,Palettes,"maquillage; yeux; intense; palettes"
MAtTyZEJQyD8ugZqVqKn,Maria Beauty,Elegance Nude Light Eyeshadow,Elegance Nude Light Eyeshadow,باليت ظلال عيون إليغانس نود لايت,"Une palette nude lumineuse pour maquiller les yeux facilement au quotidien.

Ses 9 teintes neutres et rosées permettent de créer un look très naturel ou un maquillage plus travaillé. Les fards se fondent bien sur la paupière et donnent un résultat doux, propre et élégant.

**Pourquoi on l'aime :**
- 9 teintes faciles à porter.
- Idéale pour les looks nude, rosés ou lumineux.
- Texture soyeuse, simple à estomper.
- Intensité modulable selon l'occasion.

**Pour qui :** parfaite si tu veux une palette pratique, discrète et élégante pour tous les jours.","A luminous nude palette for easy everyday eye makeup.

Its 9 neutral and rosy shades create a very natural look or a more polished makeup style. The shadows blend well on the lid for a soft, clean and elegant result.

**Why we love it:**
- 9 easy-to-wear shades
- Ideal for nude, rosy or luminous looks
- Silky texture that blends easily
- Buildable intensity for any occasion

**Best for:**
Anyone who wants a practical, subtle and elegant everyday palette.","باليت نود مضيئة لمكياج عيون يومي وسهل.

تسمح درجاتها التسع الحيادية والوردية بابتكار إطلالة طبيعية جداً أو مكياج أكثر ترتيباً. تندمج الظلال جيداً على الجفن لنتيجة ناعمة ونظيفة وأنيقة.

**لماذا نحبّها:**
- 9 درجات سهلة الاستخدام
- مثالية للإطلالات النود أو الوردية أو المضيئة
- قوام حريري سهل الدمج
- كثافة قابلة للبناء حسب المناسبة

**مناسبة لـ:**
من تريد باليت عملية وناعمة وأنيقة لكل يوم.",,,,,,,Maquillage,Palettes,"maquillage; yeux; intense; palettes"
0M62OpAxPBra38zrIF0z,Nour Beauty,Eyeliner Feutre Waterproof,Felt-tip Waterproof Eyeliner,آيلاينر فوتر مقاوم للماء,"Un eyeliner feutre waterproof pour un trait noir net et intense.

Sa pointe précise glisse facilement sur la paupière et aide à tracer une ligne fine ou plus marquée. La formule sèche vite et tient bien, sans bavure ni transfert.

**Pourquoi on l'aime :**
- Noir intense dès le premier passage.
- Pointe feutre précise.
- Tenue waterproof.
- Idéal pour un ras de cils discret ou un cat-eye.

**Astuce :** commence par de petits traits au ras des cils, puis relie-les pour garder un tracé propre.","A waterproof felt-tip eyeliner for a clean, intense black line.

Its precise tip glides easily on the lid and helps draw a thin or bolder line. The formula dries quickly and holds well, without smudging or transfer.

**Why we love it:**
- Intense black from the first stroke
- Precise felt tip
- Waterproof wear
- Ideal for a subtle lash line or a cat-eye

**Tip:**
Start with small strokes along the lashes, then connect them for a cleaner line.","آيلاينر فوتر مقاوم للماء لرسم خط أسود واضح ومكثف.

رأسه الدقيق ينساب بسهولة على الجفن ويساعد على رسم خط رفيع أو أكثر جرأة. تركيبته تجف بسرعة وتثبت جيداً من دون تلطيخ أو انتقال.

**لماذا نحبّه:**
- أسود مكثف من أول تمريرة
- رأس فوتر دقيق
- ثبات مقاوم للماء
- مثالي لخط رفيع عند الرموش أو كات آي

**نصيحة:**
ابدئي بخطوط صغيرة على جذور الرموش ثم صليها للحصول على رسم أنظف.",,,,,,,Maquillage,Eyeliner,"maquillage; yeux; eyeliner; waterproof; intense; naturel"
z049Ah30BdhaIFqqcekX,Nour Beauty,Eyeliner Plume,Eyeliner Smooth Lines,آيلاينر ريشة,"Un eyeliner plume pour tracer une ligne fluide avec plus de contrôle.

Son manche long aide à stabiliser le geste, tandis que sa pointe fine permet de dessiner un trait net sans accrocher la paupière. Il convient aussi bien aux lignes fines qu'aux looks plus graphiques.

**Pourquoi on l'aime :**
- Prise en main stable et confortable.
- Pointe fine pour un tracé précis.
- Formule fluide et régulière.
- Pratique pour dessiner une virgule plus facilement.

**Pour qui :** idéal si tu veux un eyeliner précis mais plus simple à manier.","A feather-style eyeliner to draw a fluid line with more control.

Its long handle helps stabilize the gesture, while the fine tip creates a clean line without dragging on the lid. It works for thin lines as well as more graphic looks.

**Why we love it:**
- Stable, comfortable grip
- Fine tip for precise lines
- Smooth, even formula
- Helps draw a wing more easily

**Best for:**
Anyone who wants precise eyeliner that is easier to handle.","آيلاينر بتصميم الريشة لرسم خط سلس مع تحكم أكبر.

يساعد المقبض الطويل على تثبيت الحركة، بينما يسمح الرأس الرفيع برسم خط نظيف من دون شد الجفن. مناسب للخطوط الرفيعة والإطلالات الغرافيكية.

**لماذا نحبّه:**
- مسكة ثابتة ومريحة
- رأس رفيع لرسم دقيق
- تركيبة سلسة ومتجانسة
- يسهل رسم الجناح

**مناسب لـ:**
من تريد آيلاينر دقيقاً وأسهل في التحكم.",,,,,,,Maquillage,Eyeliner,"maquillage; yeux; intense; naturel; eyeliner"
NTQdAmUZYY5wkPHII2ty,Nour Beauty,Feutre à Sourcils Waterproof,Eyebrow Waterproof,قلم حواجب فوتر مقاوم للماء,"Un feutre à sourcils waterproof pour remplir les zones clairsemées avec un effet naturel.

Son embout à plusieurs pointes imite de petits poils pour structurer les sourcils sans effet trop dessiné. La formule tient bien dans la journée et aide à garder une ligne nette.

**Pourquoi on l'aime :**
- Effet poil à poil inspiré du microblading.
- Résiste à l'eau, à l'humidité et à la transpiration.
- Aide à combler les petits trous.
- Résultat naturel si on applique par touches légères.

**Astuce :** trace toujours dans le sens de pousse des poils pour un rendu plus doux.","A waterproof brow pen to fill sparse areas with a natural effect.

Its multi-tip applicator mimics tiny hairs to structure brows without an overly drawn look. The formula wears well throughout the day and helps keep the brow line neat.

**Why we love it:**
- Hair-like effect inspired by microblading
- Resists water, humidity and sweat
- Helps fill small gaps
- Natural result when applied with light strokes

**Tip:**
Always draw in the direction of hair growth for a softer finish.","قلم حواجب فوتر مقاوم للماء لملء الفراغات بمظهر طبيعي.

طرفه متعدد الرؤوس يحاكي الشعيرات الصغيرة لترتيب الحواجب من دون مظهر مرسوم بقوة. تركيبته تثبت خلال اليوم وتساعد على الحفاظ على خط حواجب مرتب.

**لماذا نحبّه:**
- تأثير شعرة بشعرة مستوحى من المايكروبليدينغ
- مقاوم للماء والرطوبة والتعرق
- يساعد على ملء الفراغات الصغيرة
- نتيجة طبيعية عند التطبيق بلمسات خفيفة

**نصيحة:**
ارسمي دائماً باتجاه نمو الشعر للحصول على نتيجة أنعم.",,,,2 teintes,2 shades,درجتان,Maquillage,Sourcils,"maquillage; yeux; sourcils; intense; waterproof"
